name,id,from,to,text
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,93,441.38,446.69,_In fact, when we have non-text data, we could also use the non-text _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,94,446.69,451.496,_data to help prediction, and of course it depends on the problem. _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,95,451.496,459.26,_In general, non-text data can be very important for such prediction tasks. _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,96,459.26,464.53,_For example, if you want to predict stock prices or _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,97,464.53,469.87,changes of stock prices based on discussion in the news articles or 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,98,469.87,473.73,_in social media, then this is an example _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,99,473.73,478.52,of using text data to predict some other real world variables. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,100,478.52,479.95,_But in this case, obviously, _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,101,479.95,484.48,the historical stock price data would be very important for this prediction. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,102,484.48,489.633,And so that's an example of non-text data that would be very 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,103,489.633,493.75,useful for the prediction. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,104,493.75,497.161,And we're going to combine both kinds of data to make the prediction. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,105,497.161,504.51,Now non-text data can be also used for analyzing text by supplying context. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,106,505.58,507.05,_When we look at the text data alone, _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,107,507.05,511.77,we'll be mostly looking at the content and/or opinions expressed in the text. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,108,512.79,516.149,But text data generally also has context associated. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,109,517.47,524.15,_For example, the time and the location that associated are with the text data. _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,110,524.15,527.5,And these are useful context information. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,111,528.74,534.02,And the context can provide interesting angles for analyzing text data. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,112,534.02,537.98,_For example, we might partition text data into different time periods _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,113,537.98,540.68,because of the availability of the time. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,114,540.68,546.48,Now we can analyze text data in each time period and then make a comparison. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,115,546.48,549.97,Similarly we can partition text data based on locations or 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,116,549.97,555.92,any meta data that's associated to form interesting comparisons in areas. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,117,555.92,560.98,_So, in this sense, non-text data can actually provide _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,118,560.98,564.58,interesting angles or perspectives for text data analysis. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,119,564.58,569.34,And it can help us make context-sensitive 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,120,569.34,573.68,analysis of content or the language usage or 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,121,576.39,582.92,the opinions about the observer or the authors of text data. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,122,582.92,586.92,We could analyze the sentiment in different contexts. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,123,586.92,594.5,So this is a fairly general landscape of the topics in text mining and analytics. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,124,594.5,599.85,In this course we're going to selectively cover some of those topics. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,125,599.85,603.796,We actually hope to cover most of these general topics. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,126,606.675,611.321,First we're going to cover natural language processing very 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,127,611.321,616.053,briefly because this has to do with understanding text data and 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,128,616.053,621.58,this determines how we can represent text data for text mining. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,129,621.58,627.87,_Second, we're going to talk about how to mine word associations from text data. _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,130,627.87,634.34,And word associations is a form of use for lexical knowledge about a language. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,131,634.34,638.34,_Third, we're going to talk about topic mining and analysis. _
